id,year,quarter,state,count,amount
504,2021,2,uttarakhand,24000432,40990817874.83847
505,2021,3,puducherry,5121726,8729974431.01447
506,2021,3,tamil nadu,204357404,365207323053.92737
507,2021,3,uttar pradesh,306543384,557080841279.8989
508,2021,3,madhya pradesh,311443334,504412603851.499
509,2021,3,andhra pradesh,432032550,984218035564.122
510,2021,3,tripura,2081200,4364133768.181473
511,2021,3,lakshadweep,13370,38803163.698768154
512,2021,3,manipur,3941396,10406861028.904892
513,2021,3,maharashtra,792874060,1159257305167.4517
514,2021,3,dadra & nagar haveli & daman & diu,3129470,4305939102.791508
515,2021,3,meghalaya,1097731,2769000451.527979
516,2021,3,andaman & nicobar islands,449764,1310024395.8016036
517,2021,3,haryana,140459693,240827092259.20697
518,2021,3,rajasthan,400284753,710511328542.4896
519,2021,3,ladakh,590987,2213984743.93459
520,2021,3,punjab,42533489,85992560840.61221
521,2021,3,assam,33504441,75700499273.30748
522,2021,3,jharkhand,70795702,121891015118.8533
523,2021,3,odisha,177362674,303780718933.0267
524,2021,3,bihar,187671113,397062760956.3983
525,2021,3,kerala,63028266,101686161773.12894
526,2021,3,karnataka,753296539,1133234739157.5984
527,2021,3,chandigarh,6649378,11815883004.693302
528,2021,3,telangana,622886768,1178289126292.262
529,2021,3,himachal pradesh,12064167,21310262071.128155
530,2021,3,west bengal,181712988,362457066256.5059
531,2021,3,gujarat,149248407,272624626113.58765
532,2021,3,sikkim,1160594,2989336863.8083954
533,2021,3,nagaland,1356792,3987416848.005447
534,2021,3,mizoram,478529,1473748650.2119522
535,2021,3,chhattisgarh,64237938,104606108262.77591
536,2021,3,jammu & kashmir,13151041,31598443648.03224
537,2021,3,goa,6467763,10478425592.936367
538,2021,3,arunachal pradesh,1906967,5678124175.298816
539,2021,3,delhi,238760608,383858316548.281
540,2021,3,uttarakhand,31042284,50527496783.56469
541,2021,4,puducherry,6368810,10423651801.230518
542,2021,4,tamil nadu,259155976,443723952594.79407
543,2021,4,uttar pradesh,406157932,773890970072.1896
544,2021,4,madhya pradesh,404308084,656887492404.479
545,2021,4,andhra pradesh,522254003,1156264447083.9226
546,2021,4,tripura,2520693,5496929464.299448
547,2021,4,lakshadweep,15470,50998185.528381005
548,2021,4,manipur,4687439,12658472038.211857
549,2021,4,maharashtra,1010731502,1475358473128.29
550,2021,4,dadra & nagar haveli & daman & diu,4157085,5565839386.3306675
551,2021,4,meghalaya,1440193,3848765400.1861496
552,2021,4,andaman & nicobar islands,636123,1932610101.3236554
553,2021,4,haryana,169686975,309240599300.4638
554,2021,4,rajasthan,487621597,903934418544.2667
555,2021,4,ladakh,630187,2153535138.7802677
556,2021,4,punjab,52359360,110710126241.99957
557,2021,4,assam,46020361,104184967893.21591
558,2021,4,jharkhand,96009042,166017119003.7058
559,2021,4,odisha,233925366,385251049689.91846
