id,year,quarter,state,registered_users,app_opens
594,2022,1,jharkhand,7025275,331355981
595,2022,1,odisha,12124779,613855465
596,2022,1,bihar,18484658,316991599
597,2022,1,kerala,8972299,94047893
598,2022,1,karnataka,31200349,1727054045
599,2022,1,chandigarh,541549,2321685
600,2022,1,telangana,22150612,1168864524
601,2022,1,himachal pradesh,2143483,77278278
602,2022,1,west bengal,21919787,236131065
603,2022,1,gujarat,19265314,521776939
604,2022,1,sikkim,209616,12440193
605,2022,1,nagaland,276483,24206053
606,2022,1,mizoram,115295,14886657
607,2022,1,chhattisgarh,5916961,448503438
608,2022,1,jammu & kashmir,1549320,62115857
609,2022,1,goa,738628,18678798
610,2022,1,arunachal pradesh,335339,41418559
611,2022,1,delhi,13539197,57524153
612,2022,1,uttarakhand,3674829,115224382
613,2022,2,puducherry,471663,3830290
614,2022,2,tamil nadu,22829720,740265406
615,2022,2,uttar pradesh,41247289,947480495
616,2022,2,madhya pradesh,20766417,1902866132
617,2022,2,andhra pradesh,25157264,1378736856
618,2022,2,tripura,615782,21343111
619,2022,2,lakshadweep,6327,38450
620,2022,2,manipur,434563,26236900
621,2022,2,maharashtra,50802786,2492946019
622,2022,2,dadra & nagar haveli & daman & diu,449016,3886292
623,2022,2,meghalaya,269943,27458992
624,2022,2,andaman & nicobar islands,80530,5180013
625,2022,2,haryana,13576065,236091309
626,2022,2,rajasthan,24716181,2771434947
627,2022,2,ladakh,97517,14768129
628,2022,2,punjab,7702100,138965337
629,2022,2,assam,4755787,339929089
630,2022,2,jharkhand,7426174,379053485
631,2022,2,odisha,12801990,670311093
632,2022,2,bihar,19569894,348588438
633,2022,2,kerala,9442533,98876392
634,2022,2,karnataka,32831447,2065359837
635,2022,2,chandigarh,569582,2285979
636,2022,2,telangana,23314363,1276259370
637,2022,2,himachal pradesh,2264407,102488683
638,2022,2,west bengal,23124388,250276369
639,2022,2,gujarat,20321596,609943436
640,2022,2,sikkim,220994,16993937
641,2022,2,nagaland,292104,28652431
642,2022,2,mizoram,121535,16646550
643,2022,2,chhattisgarh,6238349,501411120
644,2022,2,jammu & kashmir,1635570,89986310
645,2022,2,goa,777779,19062157
646,2022,2,arunachal pradesh,354528,49889518
647,2022,2,delhi,14260143,52553080
648,2022,2,uttarakhand,3877056,156465685
649,2022,3,puducherry,496570,4186911
650,2022,3,tamil nadu,24019964,866738343
651,2022,3,uttar pradesh,43537920,1035702397
652,2022,3,madhya pradesh,21884220,2026371749
653,2022,3,andhra pradesh,26496330,1357005703
654,2022,3,tripura,649143,24123569
655,2022,3,lakshadweep,6645,18111
656,2022,3,manipur,457063,26011343
657,2022,3,maharashtra,53432602,2638663712
658,2022,3,dadra & nagar haveli & daman & diu,474807,3837881
659,2022,3,meghalaya,283487,32596135
660,2022,3,andaman & nicobar islands,84642,6068354
661,2022,3,haryana,14303933,265475161
662,2022,3,rajasthan,26042948,3299787866
663,2022,3,ladakh,102299,19734781
664,2022,3,punjab,8097582,154625731
665,2022,3,assam,5016910,410760707
666,2022,3,jharkhand,7836429,414228860
667,2022,3,odisha,13493282,725475924
668,2022,3,bihar,20694376,336807385
669,2022,3,kerala,9933977,104565833
670,2022,3,karnataka,34493994,2148016434
671,2022,3,chandigarh,598698,2173356
672,2022,3,telangana,24506111,1255597644
673,2022,3,himachal pradesh,2381576,108832538
674,2022,3,west bengal,24372048,256445748
675,2022,3,gujarat,21394721,699121904
676,2022,3,sikkim,232025,18748536
677,2022,3,nagaland,307386,31229366
678,2022,3,mizoram,127735,15557163
679,2022,3,chhattisgarh,6562237,543206487
680,2022,3,jammu & kashmir,1719185,109346235
681,2022,3,goa,817830,19712764
682,2022,3,arunachal pradesh,373372,59722628
683,2022,3,delhi,15009523,49919498
684,2022,3,uttarakhand,4081976,152803850
685,2022,4,puducherry,520649,24144184
686,2022,4,tamil nadu,25136112,1229187623
687,2022,4,uttar pradesh,45648650,1682003791
688,2022,4,madhya pradesh,22913924,1388282818
689,2022,4,andhra pradesh,27778016,1673374802
690,2022,4,tripura,678741,16107610
